From,To,Species,Gene Name,,,,,,,,,Gene stable ID,Transcript stable ID,,,,Elements only in List 2 :
101256464,Solyc12g096390.2,Solanum lycopersicum,putative peptidyl-tRNA hydrolase PTRHD1(LOC101256464),,,,,,,,,Solyc11g068810.2,Solyc11g068810.2.1,,,,
101259974,Solyc01g079090.3,Solanum lycopersicum,protoporphyrinogen oxidase(LOC101259974),,,,,,,,,Solyc04g050730.3,Solyc04g050730.3.1,,,,
101264095,Solyc12g006630.2,Solanum lycopersicum,uncharacterized LOC101264095(LOC101264095),,,,,,,,,Solyc01g080540.3,Solyc01g080540.3.1,,,,
101257313,Solyc01g111070.3,Solanum lycopersicum,type III polyketide synthase B(LOC101257313),,,,,,,,,Solyc01g104580.3,Solyc01g104580.3.1,,,,
101259973,Solyc01g060180.3,Solanum lycopersicum,"acetate/butyrate--CoA ligase AAE7, peroxisomal(LOC101259973)",,,,,,,,,Solyc10g079490.2,Solyc10g079490.2.1,,,,
101255136,Solyc09g082630.3,Solanum lycopersicum,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase 1(LOC101255136)",,,,,,,,,Solyc11g012850.2,Solyc11g012850.2.1,,,,
101259979,Solyc09g082860.3,Solanum lycopersicum,"ATP sulfurylase 1, chloroplastic-like(LOC101259979)",,,,,,,,,Solyc05g008870.3,Solyc05g008870.3.1,,,,
101245339,Solyc03g118130.3,Solanum lycopersicum,uncharacterized LOC101245339(LOC101245339),,,,,,,,,Solyc05g013670.3,Solyc05g013670.3.1,,,,
101259971,Solyc09g008295.1,Solanum lycopersicum,thioredoxin-like 3-3(LOC101259971),,,,,,,,,Solyc03g078000.3,Solyc03g078000.3.1,,,,
101257790,Solyc08g059760.3,Solanum lycopersicum,putative L-ascorbate peroxidase 6(LOC101257790),,,,,,,,,Solyc03g097950.3,Solyc03g097950.3.1,,,,
104649390,Solyc09g082870.2,Solanum lycopersicum,"putative calcium-transporting ATPase 13, plasma membrane-type(LOC104649390)",,,,,,,,,Solyc04g081850.3,Solyc04g081850.3.1,,,,
101254284,Solyc03g097550.3,Solanum lycopersicum,RNA pseudouridine synthase 7(LOC101254284),,,,,,,,,Solyc05g056370.3,Solyc05g056370.3.1,,,,
101257791,Solyc08g079740.3,Solanum lycopersicum,probable LRR receptor-like serine/threonine-protein kinase At1g12460(LOC101257791),,,,,,,,,Solyc06g069030.3,Solyc06g069030.3.1,,,,
108511945,Solyc03g093560.1,Solanum lycopersicum,ethylene response factor 5(ERF5),,,,,,,,,Solyc10g006900.3,Solyc10g006900.3.1,,,,
101245334,Solyc12g044310.2,Solanum lycopersicum,protein NRT1/ PTR FAMILY 1.2(LOC101245334),,,,,,,,,Solyc12g044280.2,Solyc12g044280.2.1,,,,
101248845,Solyc03g006050.3,Solanum lycopersicum,receptor-like protein 51(LOC101248845),,,,,,,,,Solyc03g082560.3,Solyc03g082560.3.1,,,,
101246663,Solyc09g083420.3,Solanum lycopersicum,CWF19-like protein 2(LOC101246663),,,,,,,,,Solyc06g062845.1,Solyc06g062845.1.1,,,,
101244484,Solyc05g008870.3,Solanum lycopersicum,uncharacterized LOC101244484(LOC101244484),,,,,,,,,Solyc02g063230.1,Solyc02g063230.1.1,,,,
101244485,Solyc05g013670.3,Solanum lycopersicum,"chloroplast sensor kinase, chloroplastic(LOC101244485)",,,,,,,,,Solyc03g063390.1,Solyc03g063390.1.1,,,,
101246669,Solyc10g009080.3,Solanum lycopersicum,squamosa promoter binding-like protein 3(SBP3),,,,,,,,,Solyc05g012370.3,Solyc05g012370.3.1,,,,
101268460,Solyc03g121520.3,Solanum lycopersicum,uncharacterized LOC101268460(LOC101268460),,,,,,,,,Solyc06g008500.3,Solyc06g008500.3.1,,,,
101267130,Solyc07g005570.3,Solanum lycopersicum,"APO protein 2, chloroplastic(LOC101267130)",,,,,,,,,Solyc06g061070.3,Solyc06g061070.3.1,,,,
101244472,Solyc03g114390.1,Solanum lycopersicum,protein MIZU-KUSSEI 1(LOC101244472),,,,,,,,,Solyc09g083370.3,Solyc09g083370.3.1,,,,
101267131,Solyc07g007950.1,Solanum lycopersicum,calmodulin-like protein 3(LOC101267131),,,,,,,,,Solyc02g093080.3,Solyc02g093080.3.1,,,,
101244470,Solyc03g117040.3,Solanum lycopersicum,factor of DNA methylation 1(LOC101244470),,,,,,,,,Solyc10g085820.2,Solyc10g085820.2.1,,,,
101255121,Solyc08g082400.1,Solanum lycopersicum,"NAD(P)H-quinone oxidoreductase subunit S, chloroplastic(LOC101255121)",,,,,,,,,Solyc03g093880.3,Solyc03g093880.3.1,,,,
101255124,Solyc09g018230.1,Solanum lycopersicum,U-box domain-containing protein 16(LOC101255124),,,,,,,,,Solyc11g012870.2,Solyc11g012870.2.1,,,,
101266283,Solyc02g092210.1,Solanum lycopersicum,glycosyltransferase 6-like(LOC101266283),,,,,,,,,Solyc03g113240.3,Solyc03g113240.3.1,,,,
101255126,Solyc09g010680.3,Solanum lycopersicum,dof zinc finger protein DOF2.4(LOC101255126),,,,,,,,,Solyc03g110940.3,Solyc03g110940.3.1,,,,
100736549,Solyc06g065190.1,Solanum lycopersicum,TCP transcription factor 13(TCP13),,,,,,,,,Solyc09g089690.3,Solyc09g089690.3.1,,,,
101257305,Solyc01g100910.3,Solanum lycopersicum,WAT1-related protein At1g09380(LOC101257305),,,,,,,,,Solyc02g089550.3,Solyc02g089550.3.1,,,,
101254271,Solyc11g064800.2,Solanum lycopersicum,protein LATERAL ROOT PRIMORDIUM 1(LOC101254271),,,,,,,,,Solyc02g087150.3,Solyc02g087150.3.1,,,,
101248838,Solyc02g068090.3,Solanum lycopersicum,"30S ribosomal protein S21, chloroplastic(LOC101248838)",,,,,,,,,Solyc02g069460.3,Solyc02g069460.3.1,,,,
100736540,Solyc09g014380.3,Solanum lycopersicum,auxin transporter-like protein 1(LAX1),,,,,,,,,Solyc05g007780.3,Solyc05g007780.3.1,,,,
101244473,Solyc03g113300.3,Solanum lycopersicum,short-chain dehydrogenase reductase 3b-like(LOC101244473),,,,,,,,,Solyc06g084615.1,Solyc06g084615.1.1,,,,
101260987,Solyc02g078810.3,Solanum lycopersicum,uncharacterized LOC101260987(LOC101260987),,,,,,,,,Solyc02g088350.3,Solyc02g088350.3.1,,,,
101267136,Solyc07g053020.2,Solanum lycopersicum,disease resistance RPP13-like protein 4(LOC101267136),,,,,,,,,Solyc11g068870.2,Solyc11g068870.2.1,,,,
101247503,Solyc12g057100.2,Solanum lycopersicum,purine permease 1-like(LOC101247503),,,,,,,,,Solyc12g096900.2,Solyc12g096900.2.1,,,,
101248832,Solyc11g010730.2,Solanum lycopersicum,receptor-like cytosolic serine/threonine-protein kinase RBK1(LOC101248832),,,,,,,,,Solyc03g112150.1,Solyc03g112150.1.1,,,,
101245351,Solyc04g005200.3,Solanum lycopersicum,"protein PHYLLO, chloroplastic(LOC101245351)",,,,,,,,,Solyc01g111075.1,Solyc01g111075.1.1,,,,
101267581,Solyc12g008800.2,Solanum lycopersicum,transcription factor MYBS3(LOC101267581),,,,,,,,,Solyc02g084750.3,Solyc02g084750.3.1,,,,
101259513,Solyc12g009600.2,Solanum lycopersicum,"thylakoid lumenal 16.5 kDa protein, chloroplastic(LOC101259513)",,,,,,,,,Solyc02g072080.1,Solyc02g072080.1.1,,,,
101259995,Solyc02g093460.3,Solanum lycopersicum,uncharacterized LOC101259995(LOC101259995),,,,,,,,,Solyc12g044310.2,Solyc12g044310.2.1,,,,
101256006,Solyc06g069730.3,Solanum lycopersicum,chlorophyll a-b binding protein Cab12(CAB12),,,,,,,,,Solyc03g118130.3,Solyc03g118130.3.1,,,,
101256008,Solyc06g060560.3,Solanum lycopersicum,uncharacterized LOC101256008(LOC101256008),,,,,,,,,Solyc02g089520.2,Solyc02g089520.2.1,,,,
544093,Solyc02g062950.3,Solanum lycopersicum,G-box binding protein(GBF12),,,,,,,,,Solyc05g012380.3,Solyc05g012380.3.1,,,,
101267102,Solyc03g114510.3,Solanum lycopersicum,plant cysteine oxidase 3(LOC101267102),,,,,,,,,Solyc07g045050.3,Solyc07g045050.3.1,,,,
101248868,Solyc04g015490.3,Solanum lycopersicum,"magnesium-chelatase subunit ChlD, chloroplastic(LOC101248868)",,,,,,,,,Solyc01g099260.3,Solyc01g099260.3.1,,,,
101247532,Solyc06g051200.3,Solanum lycopersicum,"50S ribosomal protein L3, chloroplastic(LOC101247532)",,,,,,,,,Solyc10g006040.1,Solyc10g006040.1.1,,,,
101267587,Solyc03g078080.3,Solanum lycopersicum,uridylate kinase(LOC101267587),,,,,,,,,Solyc01g107330.3,Solyc01g107330.3.1,,,,
101246207,Solyc02g070540.3,Solanum lycopersicum,carbohydrate binding domain-containing protein(LOC101246207),,,,,,,,,Solyc02g093060.3,Solyc02g093060.3.1,,,,
101248862,Solyc03g116800.3,Solanum lycopersicum,uncharacterized LOC101248862(LOC101248862),,,,,,,,,Solyc02g064720.3,Solyc02g064720.3.1,,,,
101255146,Solyc10g049870.1,Solanum lycopersicum,zinc finger protein 2-like(LOC101255146),,,,,,,,,Solyc12g096870.1,Solyc12g096870.1.1,,,,
101257324,Solyc11g005080.1,Solanum lycopersicum,uncharacterized LOC101257324(LOC101257324),,,,,,,,,Solyc07g018360.3,Solyc07g018360.3.1,,,,
101259503,Solyc02g078860.3,Solanum lycopersicum,PAP-specific phosphatase HAL2-like(LOC101259503),,,,,,,,,Solyc08g013850.1,Solyc08g013850.1.1,,,,
101258657,Solyc05g051400.3,Solanum lycopersicum,mitochondrial uncoupling protein 5-like(LOC101258657),,,,,,,,,Solyc08g078010.3,Solyc08g078010.3.1,,,,
101259988,Solyc10g044780.2,Solanum lycopersicum,cell cycle checkpoint control protein RAD9B(LOC101259988),,,,,,,,,Solyc01g008180.3,Solyc01g008180.3.1,,,,
101055519,Solyc12g099930.2,Solanum lycopersicum,Hop-interacting protein THI032(LOC101055519),,,,,,,,,Solyc01g090970.3,Solyc01g090970.3.1,,,,
101266265,Solyc01g086920.3,Solanum lycopersicum,DNA damage-repair/toleration protein DRT100(LOC101266265),,,,,,,,,Solyc02g084740.3,Solyc02g084740.3.1,,,,
544080,Solyc06g075930.1,Solanum lycopersicum,histone H4(LOC544080),,,,,,,,,Solyc02g077300.2,Solyc02g077300.2.1,,,,
544080,Solyc04g011390.1,Solanum lycopersicum,histone H4(LOC544080),,,,,,,,,Solyc03g118120.3,Solyc03g118120.3.1,,,,
544080,Solyc11g072860.2,Solanum lycopersicum,histone H4(LOC544080),,,,,,,,,Solyc04g015600.3,Solyc04g015600.3.1,,,,
544080,Solyc06g005420.1,Solanum lycopersicum,histone H4(LOC544080),,,,,,,,,Solyc08g079180.3,Solyc08g079180.3.1,,,,
544080,Solyc06g005430.1,Solanum lycopersicum,histone H4(LOC544080),,,,,,,,,Solyc01g005230.3,Solyc01g005230.3.1,,,,
544080,Solyc06g075830.2,Solanum lycopersicum,histone H4(LOC544080),,,,,,,,,Solyc09g005750.3,Solyc09g005750.3.1,,,,
544080,Solyc06g075960.1,Solanum lycopersicum,histone H4(LOC544080),,,,,,,,,Solyc01g079580.3,Solyc01g079580.3.1,,,,
544080,Solyc05g054610.1,Solanum lycopersicum,histone H4(LOC544080),,,,,,,,,Solyc01g097910.2,Solyc01g097910.2.1,,,,
544080,Solyc06g072240.1,Solanum lycopersicum,histone H4(LOC544080),,,,,,,,,Solyc10g079750.2,Solyc10g079750.2.1,,,,
101261813,Solyc05g009680.1,Solanum lycopersicum,protein ASPARTIC PROTEASE IN GUARD CELL 1(LOC101261813),,,,,,,,,Solyc03g044480.3,Solyc03g044480.3.1,,,,
101244015,Solyc07g039310.1,Solanum lycopersicum,probable polyamine oxidase 5(LOC101244015),,,,,,,,,Solyc06g071320.3,Solyc06g071320.3.1,,,,
101257759,Solyc04g005100.3,Solanum lycopersicum,transcription factor MYB1R1(LOC101257759),,,,,,,,,Solyc06g066770.1,Solyc06g066770.1.1,,,,
101259937,Solyc05g048750.3,Solanum lycopersicum,uncharacterized LOC101259937(LOC101259937),,,,,,,,,Solyc08g023660.3,Solyc08g023660.3.1,,,,
101245770,Solyc06g066770.1,Solanum lycopersicum,F-box/kelch-repeat protein At1g80440-like(LOC101245770),,,,,,,,,Solyc09g007850.3,Solyc09g007850.3.1,,,,
101268891,Solyc08g023490.3,Solanum lycopersicum,pentatricopeptide repeat-containing protein At1g09900(LOC101268891),,,,,,,,,Solyc09g083390.2,Solyc09g083390.2.1,,,,
101254243,Solyc10g007670.3,Solanum lycopersicum,uncharacterized LOC101254243(LOC101254243),,,,,,,,,Solyc01g107340.3,Solyc01g107340.3.1,,,,
101256426,Solyc10g039270.2,Solanum lycopersicum,"peptidyl-prolyl cis-trans isomerase FKBP20-2, chloroplastic(FKBP20-2)",,,,,,,,,Solyc08g013840.3,Solyc08g013840.3.1,,,,
101257755,Solyc03g113880.3,Solanum lycopersicum,putative DNA glycosylase At3g47830(LOC101257755),,,,,,,,,Solyc09g064500.3,Solyc09g064500.3.1,,,,
101246628,Solyc04g082930.2,Solanum lycopersicum,"chlorophyll a-b binding protein 7, chloroplastic(LOC101246628)",,,,,,,,,Solyc04g072740.3,Solyc04g072740.3.1,,,,
101246627,Solyc04g077130.1,Solanum lycopersicum,"50S ribosomal protein 6, chloroplastic(LOC101246627)",,,,,,,,,Solyc04g080630.3,Solyc04g080630.3.1,,,,
101245779,Solyc08g005470.3,Solanum lycopersicum,cyclin-dependent kinase F-4(LOC101245779),,,,,,,,,Solyc09g007830.3,Solyc09g007830.3.1,,,,
101246621,Solyc04g005660.3,Solanum lycopersicum,transcription factor PRE6-like(LOC101246621),,,,,,,,,Solyc01g107350.3,Solyc01g107350.3.1,,,,
101268893,Solyc08g065970.3,Solanum lycopersicum,RNA polymerase sigma factor sigC(LOC101268893),,,,,,,,,Solyc05g056320.3,Solyc05g056320.3.1,,,,
101244441,Solyc11g012850.2,Solanum lycopersicum,"chlorophyllide a oxygenase, chloroplastic-like(LOC101244441)",,,,,,,,,Solyc02g090680.3,Solyc02g090680.3.1,,,,
101257749,Solyc03g095850.1,Solanum lycopersicum,peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A-like(LOC101257749),,,,,,,,,Solyc02g070540.3,Solyc02g070540.3.1,,,,
778363,Solyc02g077560.3,Solanum lycopersicum,auxin response factor 3(ARF3),,,,,,,,,Solyc11g069960.2,Solyc11g069960.2.1,,,,
101252055,Solyc03g007330.3,Solanum lycopersicum,"ATP-dependent zinc metalloprotease FTSH 11, chloroplastic/mitochondrial(LOC101252055)",,,,,,,,,Solyc03g082510.1,Solyc03g082510.1.1,,,,
101260937,Solyc05g054600.3,Solanum lycopersicum,"methionine--tRNA ligase, chloroplastic/mitochondrial(LOC101260937)",,,,,,,,,Solyc05g054210.3,Solyc05g054210.3.1,,,,
101266240,Solyc07g066050.3,Solanum lycopersicum,uncharacterized LOC101266240(LOC101266240),,,,,,,,,Solyc06g061020.3,Solyc06g061020.3.1,,,,
101256897,Solyc07g066510.3,Solanum lycopersicum,zinc finger protein HD1(LOC101256897),,,,,,,,,Solyc11g008480.2,Solyc11g008480.2.1,,,,
101256415,Solyc01g087740.1,Solanum lycopersicum,subtilisin-like protease SBT1.9(LOC101256415),,,,,,,,,Solyc02g082120.3,Solyc02g082120.3.1,,,,
101245768,Solyc06g071320.3,Solanum lycopersicum,uncharacterized LOC101245768(LOC101245768),,,,,,,,,Solyc03g113190.1,Solyc03g113190.1.1,,,,
101264067,Solyc09g090680.3,Solanum lycopersicum,cysteine-rich repeat secretory protein 3-like(LOC101264067),,,,,,,,,Solyc06g084550.3,Solyc06g084550.3.1,,,,
101253381,Solyc05g054930.3,Solanum lycopersicum,myosin-3(LOC101253381),,,,,,,,,Solyc10g080840.1,Solyc10g080840.1.1,,,,
101268420,Solyc09g009190.3,Solanum lycopersicum,"1,4-alpha-glucan-branching enzyme 1, chloroplastic/amyloplastic(LOC101268420)",,,,,,,,,Solyc02g064690.3,Solyc02g064690.3.1,,,,
101244432,Solyc10g079490.2,Solanum lycopersicum,beta-glucuronosyltransferase GlcAT14A(LOC101244432),,,,,,,,,Solyc12g014480.2,Solyc12g014480.2.1,,,,
101267576,Solyc11g042640.2,Solanum lycopersicum,uncharacterized LOC101267576(LOC101267576),,,,,,,,,Solyc07g062300.3,Solyc07g062300.3.1,,,,
