From,To,Species,Gene Name,Gene stable ID,Transcript stable ID,,,Elements only in List 1 :
101267176,Solyc02g094190.3,Solanum lycopersicum,protein NUCLEAR FUSION DEFECTIVE 4(LOC101267176),Solyc03g096670.3,Solyc03g096670.3.1,,,
100736507,Solyc02g093680.3,Solanum lycopersicum,succinate dehydrogenase(LOC100736507),Solyc01g110290.3,Solyc01g110290.3.1,,,
100736506,Solyc09g009100.3,Solanum lycopersicum,heat stress transcription factor A3(HSFA3),Solyc06g011350.3,Solyc06g011350.3.1,,,
100736505,Solyc09g014900.3,Solanum lycopersicum,cytochrome P450 71 family protein(LOC100736505),Solyc04g009800.3,Solyc04g009800.3.1,,,
100736503,Solyc07g005210.3,Solanum lycopersicum,temperature-induced lipocalin'(TIL'),Solyc07g008320.3,Solyc07g008320.3.1,,,
101250709,Solyc07g042000.3,Solanum lycopersicum,cation/calcium exchanger 4-like(LOC101250709),Solyc01g111170.3,Solyc01g111170.3.1,,,
101258673,Solyc07g051850.3,Solanum lycopersicum,cyprosin(LOC101258673),Solyc06g076020.3,Solyc06g076020.3.1,,,
101247542,Solyc08g006680.3,Solanum lycopersicum,probable folate-biopterin transporter 2(LOC101247542),Solyc04g054710.3,Solyc04g054710.3.1,,,
544069,Solyc01g097240.3,Solanum lycopersicum,pathogenesis-related protein P2(PR-P2),Solyc08g078820.3,Solyc08g078820.3.1,,,
101260541,Solyc06g073960.3,Solanum lycopersicum,serine/threonine-protein phosphatase BSL3(LOC101260541),Solyc02g083860.3,Solyc02g083860.3.1,,,
101260541,Solyc11g071920.2,Solanum lycopersicum,serine/threonine-protein phosphatase BSL3(LOC101260541),Solyc09g009130.3,Solyc09g009130.3.1,,,
101249721,Solyc00g136560.3,Solanum lycopersicum,dehydrodolichyl diphosphate synthase 2-like(LOC101249721),Solyc07g005210.3,Solyc07g005210.3.1,,,
544066,Solyc10g075110.2,Solanum lycopersicum,TSW12 protein(TSW12),Solyc09g014900.3,Solyc09g014900.3.1,,,
544065,Solyc06g034110.3,Solanum lycopersicum,acid phosphatase(APS1),Solyc09g009100.3,Solyc09g009100.3.1,,,
101246243,Solyc04g080740.1,Solanum lycopersicum,bZIP transcription factor 11(LOC101246243),Solyc02g093680.3,Solyc02g093680.3.1,,,
101247571,Solyc02g031830.1,Solanum lycopersicum,uncharacterized LOC101247571(LOC101247571),Solyc02g084870.3,Solyc02g084870.3.1,,,
101257377,Solyc05g041200.3,Solanum lycopersicum,4-hydroxyphenylpyruvate dioxygenase-like(LOC101257377),Solyc11g072630.2,Solyc11g072630.2.1,,,
101259556,Solyc07g041160.3,Solanum lycopersicum,uncharacterized membrane protein C776.05(LOC101259556),Solyc02g089020.2,Solyc02g089020.2.1,,,
101255198,Solyc05g053835.1,Solanum lycopersicum,probable UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SEC(LOC101255198),Solyc03g117590.3,Solyc03g117590.3.1,,,
101255191,Solyc04g005250.3,Solanum lycopersicum,DNA (cytosine-5)-methyltransferase(DRM7),Solyc03g080190.3,Solyc03g080190.3.1,,,
101252919,Solyc09g007445.1,Solanum lycopersicum,lipid phosphate phosphatase gamma(LOC101252919),Solyc01g104970.3,Solyc01g104970.3.1,,,
101250739,Solyc01g095490.3,Solanum lycopersicum,ubiquitin-conjugating enzyme E2 28(LOC101250739),Solyc03g116390.3,Solyc03g116390.3.1,,,
101266299,Solyc11g069780.2,Solanum lycopersicum,P-loop NTPase domain-containing protein LPA1 homolog 2(LOC101266299),Solyc05g056040.3,Solyc05g056040.3.1,,,
101258222,Solyc02g067780.3,Solanum lycopersicum,putative cysteine-rich receptor-like protein kinase 43(LOC101258222),Solyc06g076050.3,Solyc06g076050.3.1,,,
100736531,Solyc01g104970.3,Solanum lycopersicum,somatic embryogenesis receptor kinase 3B(SERK3B),Solyc03g113390.3,Solyc03g113390.3.1,,,
101255194,Solyc04g071980.3,Solanum lycopersicum,uncharacterized LOC101255194(LOC101255194),Solyc11g044910.2,Solyc11g044910.2.1,,,
101259553,Solyc07g005200.3,Solanum lycopersicum,VAMP-like protein YKT61(LOC101259553),Solyc06g053260.1,Solyc06g053260.1.1,,,
101257375,Solyc05g055870.3,Solanum lycopersicum,putative F-box protein PP2-B12(LOC101257375),Solyc01g107170.2,Solyc01g107170.2.1,,,
101260512,Solyc03g031990.3,Solanum lycopersicum,protein PIN-LIKES 3-like(LOC101260512),Solyc03g097820.2,Solyc03g097820.2.1,,,
101246246,Solyc05g018610.2,Solanum lycopersicum,chaperone protein dnaJ 49(LOC101246246),Solyc12g010890.2,Solyc12g010890.2.1,,,
544056,Solyc02g084850.3,Solanum lycopersicum,TAS14 peptide (AA 1-130)(TAS14),Solyc02g093710.1,Solyc02g093710.1.1,,,
101249759,Solyc09g064780.3,Solanum lycopersicum,mediator of RNA polymerase II transcription subunit 33A-like(LOC101249759),Solyc06g076100.3,Solyc06g076100.3.1,,,
101260514,Solyc03g051790.3,Solanum lycopersicum,uncharacterized LOC101260514(LOC101260514),Solyc09g097850.1,Solyc09g097850.1.1,,,
101248429,Solyc01g105100.3,Solanum lycopersicum,endoplasmic reticulum-Golgi intermediate compartment protein 3(LOC101248429),Solyc10g086180.2,Solyc10g086180.2.1,,,
544052,Solyc07g049530.3,Solanum lycopersicum,1-aminocyclopropane-1-carboxylate oxidase 1(ACO1),Solyc02g087210.3,Solyc02g087210.3.1,,,
101260510,Solyc03g006470.3,Solanum lycopersicum,CBS domain-containing protein CBSX5-like(LOC101260510),Solyc02g083000.1,Solyc02g083000.1.1,,,
101248424,Solyc01g094860.3,Solanum lycopersicum,uncharacterized LOC101248424(LOC101248424),Solyc02g063410.3,Solyc02g063410.3.1,,,
544054,Solyc01g067740.3,Solanum lycopersicum,superoxide dismutase [Cu-Zn] 1(SODCC.1),Solyc06g059860.3,Solyc06g059860.3.1,,,
101260517,Solyc03g096040.3,Solanum lycopersicum,1-Cys peroxiredoxin A(LOC101260517),Solyc07g006770.2,Solyc07g006770.2.1,,,
101261849,Solyc01g010430.3,Solanum lycopersicum,uncharacterized LOC101261849(LOC101261849),Solyc01g097840.3,Solyc01g097840.3.1,,,
101256039,Solyc10g006480.2,Solanum lycopersicum,polyubiquitin(LOC101256039),Solyc12g089030.2,Solyc12g089030.2.1,,,
100736526,Solyc03g080190.3,Solanum lycopersicum,protein DMR6-like oxygenase(DMR6-1),Solyc05g056420.3,Solyc05g056420.3.1,,,
100736525,Solyc03g117590.3,Solanum lycopersicum,heat shock protein binding protein(LOC100736525),Solyc08g067360.3,Solyc08g067360.3.1,,,
101252907,Solyc08g036640.3,Solanum lycopersicum,protein TIFY 5A-like(LOC101252907),Solyc08g080470.3,Solyc08g080470.3.1,,,
101258692,Solyc01g066520.3,Solanum lycopersicum,"lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial(LOC101258692)",Solyc09g011470.3,Solyc09g011470.3.1,,,
101268005,Solyc07g005600.3,Solanum lycopersicum,transmembrane 9 superfamily member 9(LOC101268005),Solyc09g059040.3,Solyc09g059040.3.1,,,
101267159,Solyc01g065550.3,Solanum lycopersicum,protein DEHYDRATION-INDUCED 19 homolog 4(LOC101267159),Solyc10g085130.2,Solyc10g085130.2.1,,,
544042,Solyc02g077370.1,Solanum lycopersicum,pathogenesis-related genes transcriptional activator PTI5(PTI5),Solyc02g079740.1,Solyc02g079740.1.1,,,
101248897,Solyc08g007830.1,Solanum lycopersicum,dehydration-responsive element-binding protein 1F-like(LOC101248897),Solyc05g015470.1,Solyc05g015470.1.1,,,
101257319,Solyc02g032860.3,Solanum lycopersicum,"5'-adenylylsulfate reductase 3, chloroplastic(LOC101257319)",Solyc01g088480.3,Solyc01g088480.3.1,,,
101261818,Solyc05g054570.3,Solanum lycopersicum,phosphatidylinositol/phosphatidylcholine transfer protein SFH12(LOC101261818),Solyc09g089650.1,Solyc09g089650.1.1,,,
101260969,Solyc09g074550.3,Solanum lycopersicum,CASP-like protein 1E1(LOC101260969),Solyc03g096780.1,Solyc03g096780.1.1,,,
101256463,Solyc03g122120.3,Solanum lycopersicum,"3-oxoacyl-[acyl-carrier-protein] synthase II, chloroplastic-like(LOC101256463)",Solyc05g055330.3,Solyc05g055330.3.1,,,
101254287,Solyc03g119980.3,Solanum lycopersicum,caffeoylshikimate esterase(LOC101254287),Solyc05g050800.3,Solyc05g050800.3.1,,,
101257315,Solyc01g112230.3,Solanum lycopersicum,metallothionein-like protein 4B(LOC101257315),Solyc06g076400.3,Solyc06g076400.3.1,,,
101055527,Solyc03g113390.3,Solanum lycopersicum,Hop-interacting protein THI080(LOC101055527),Solyc06g062670.3,Solyc06g062670.3.1,,,
101254281,Solyc03g083440.3,Solanum lycopersicum,"glutamate synthase 1 [NADH], chloroplastic(LOC101254281)",Solyc08g076920.3,Solyc08g076920.3.1,,,
101259970,Solyc09g009590.1,Solanum lycopersicum,A20/AN1 zinc finger protein(SAP8),Solyc10g047300.2,Solyc10g047300.2.1,,,
101268453,Solyc12g015770.2,Solanum lycopersicum,cellulose synthase-like protein E6(LOC101268453),Solyc02g093110.3,Solyc02g093110.3.1,,,
104649397,Solyc09g090190.3,Solanum lycopersicum,probable methyltransferase PMT3(LOC104649397),Solyc06g051840.1,Solyc06g051840.1.1,,,
101244003,Solyc06g076400.3,Solanum lycopersicum,probable protein phosphatase 2C 24(LOC101244003),Solyc01g011040.3,Solyc01g011040.3.1,,,
101248846,Solyc12g010400.2,Solanum lycopersicum,uncharacterized LOC101248846(LOC101248846),Solyc08g074550.3,Solyc08g074550.3.1,,,
101055520,Solyc06g076050.3,Solanum lycopersicum,Hop-interacting protein THI033(LOC101055520),Solyc01g100320.3,Solyc01g100320.3.1,,,
101268455,Solyc03g078090.3,Solanum lycopersicum,probable pectinesterase/pectinesterase inhibitor 51(LOC101268455),Solyc01g107250.3,Solyc01g107250.3.1,,,
101247994,Solyc12g042730.1,Solanum lycopersicum,VQ motif-containing protein 11-like(LOC101247994),Solyc03g093800.1,Solyc03g093800.1.1,,,
101246662,Solyc09g075120.3,Solanum lycopersicum,UDP-glucuronic acid decarboxylase 2(LOC101246662),Solyc03g114820.3,Solyc03g114820.3.1,,,
101244006,Solyc06g062670.3,Solanum lycopersicum,zinc finger family protein(LOC101244006),Solyc07g064740.3,Solyc07g064740.3.1,,,
101246667,Solyc01g096720.3,Solanum lycopersicum,protein ZINC INDUCED FACILITATOR-LIKE 1-like(LOC101246667),Solyc01g095620.3,Solyc01g095620.3.1,,,
101268459,Solyc12g089000.2,Solanum lycopersicum,probable E3 ubiquitin-protein ligase ARI2(LOC101268459),Solyc03g096790.3,Solyc03g096790.3.1,,,
101255122,Solyc01g010480.3,Solanum lycopersicum,protein TWIN LOV 1-like(LOC101255122),Solyc08g076910.3,Solyc08g076910.3.1,,,
101257300,Solyc09g075850.3,Solanum lycopersicum,vacuole membrane protein KMS1(LOC101257300),Solyc10g009190.1,Solyc10g009190.1.1,,,
101259963,Solyc08g077290.1,Solanum lycopersicum,transcription factor MAMYB(LOC101259963),Solyc01g106340.3,Solyc01g106340.3.1,,,
101257786,Solyc07g051950.3,Solanum lycopersicum,S-type anion channel SLAH1(LOC101257786),Solyc10g047290.2,Solyc10g047290.2.1,,,
101256455,Solyc12g014080.2,Solanum lycopersicum,ras-related protein Rab11B(LOC101256455),Solyc11g008390.2,Solyc11g008390.2.1,,,
101266280,Solyc10g080610.1,Solanum lycopersicum,F-box/kelch-repeat protein At1g15670(LOC101266280),Solyc02g062590.3,Solyc02g062590.3.1,,,
101245329,Solyc12g005720.1,Solanum lycopersicum,cysteine-rich repeat secretory protein 38(LOC101245329),Solyc03g007040.3,Solyc03g007040.3.1,,,
101254270,Solyc11g072660.2,Solanum lycopersicum,probable serine/threonine-protein kinase PBL7(LOC101254270),Solyc08g080410.3,Solyc08g080410.3.1,,,
101055535,Solyc09g074320.3,Solanum lycopersicum,Hop-interacting protein THI129(BSL1),Solyc01g094010.3,Solyc01g094010.3.1,,,
101256451,Solyc02g063220.3,Solanum lycopersicum,mannose-6-phosphate isomerase 1-like(LOC101256451),Solyc01g109810.2,Solyc01g109810.2.1,,,
101248833,Solyc11g013000.2,Solanum lycopersicum,transmembrane emp24 domain-containing protein p24delta3(LOC101248833),Solyc10g078490.2,Solyc10g078490.2.1,,,
101248834,Solyc02g080820.3,Solanum lycopersicum,peroxisomal membrane protein PMP22(LOC101248834),Solyc02g090820.3,Solyc02g090820.3.1,,,
101261835,Solyc07g040990.3,Solanum lycopersicum,protein phosphatase 2C ABI2(ABI2),Solyc02g081140.3,Solyc02g081140.3.1,,,
101247504,Solyc12g089240.2,Solanum lycopersicum,B-box zinc finger protein 20(LOC101247504),Solyc02g078460.3,Solyc02g078460.3.1,,,
101245324,Solyc11g066800.2,Solanum lycopersicum,GABA transporter 1(LOC101245324),Solyc03g114780.3,Solyc03g114780.3.1,,,
101244477,Solyc03g114780.3,Solanum lycopersicum,uncharacterized ATP-dependent helicase YprA(LOC101244477),Solyc06g050990.3,Solyc06g050990.3.1,,,
101247502,Solyc03g083900.3,Solanum lycopersicum,monocopper oxidase-like protein SKS1(LOC101247502),Solyc03g098740.1,Solyc03g098740.1.1,,,
101248860,Solyc03g120280.1,Solanum lycopersicum,nuclear pore complex protein NUP50A(LOC101248860),Solyc04g078420.1,Solyc04g078420.1.1,,,
101260945,Solyc06g054150.1,Solanum lycopersicum,uncharacterized LOC101260945(LOC101260945),Solyc04g080750.3,Solyc04g080750.3.1,,,
101260946,Solyc06g076750.3,Solanum lycopersicum,protein NRT1/ PTR FAMILY 8.1(LOC101260946),Solyc05g007770.3,Solyc05g007770.3.1,,,
101246681,Solyc10g085190.2,Solanum lycopersicum,probable 2-oxoglutarate-dependent dioxygenase At3g111800(LOC101246681),Solyc05g012390.3,Solyc05g012390.3.1,,,
101266252,Solyc01g006700.3,Solanum lycopersicum,protein downstream neighbor of son homolog(LOC101266252),Solyc08g081730.3,Solyc08g081730.3.1,,,
104645813,Solyc02g079180.1,Solanum lycopersicum,heat stress transcription factor A-1b-like(LOC104645813),Solyc01g105770.2,Solyc01g105770.2.1,,,
101258664,Solyc06g068410.3,Solanum lycopersicum,probable CCR4-associated factor 1 homolog 6(LOC101258664),Solyc02g077330.3,Solyc02g077330.3.1,,,
101055502,Solyc10g085450.2,Solanum lycopersicum,CBL-interacting protein kinase 14(CIPK14),Solyc12g096960.2,Solyc12g096960.2.1,,,
101266253,Solyc09g015155.1,Solanum lycopersicum,PRA1 family protein B4(LOC101266253),Solyc05g050350.2,Solyc05g050350.2.1,,,
101257330,Solyc02g070020.1,Solanum lycopersicum,UDP-glycosyltransferase 91C1-like(LOC101257330),Solyc08g067410.2,Solyc08g067410.2.1,,,
101055501,Solyc06g082440.1,Solanum lycopersicum,CBL-interacting protein kinase 11(CIPK11),Solyc01g007070.3,Solyc01g007070.3.1,,,
101246203,Solyc11g018690.2,Solanum lycopersicum,ABC transporter G family member 63(LOC101246203),Solyc09g020190.3,Solyc09g020190.3.1,,,
101244022,Solyc08g076920.3,Solanum lycopersicum,probable ADP-ribosylation factor GTPase-activating protein AGD9(LOC101244022),Solyc01g103650.3,Solyc01g103650.3.1,,,
544099,Solyc11g017010.2,Solanum lycopersicum,sucrose transport protein(LeSUT1),Solyc02g081080.3,Solyc02g081080.3.1,,,
101246688,Solyc02g064680.3,Solanum lycopersicum,"calcium-transporting ATPase 2, plasma membrane-type-like(LOC101246688)",Solyc03g026000.3,Solyc03g026000.3.1,,,
101260951,Solyc07g008840.3,Solanum lycopersicum,uncharacterized LOC101260951(LOC101260951),Solyc03g117030.2,Solyc03g117030.2.1,,,
544098,Solyc05g007950.3,Solanum lycopersicum,ribonuclease T2(RNALE),Solyc03g116480.1,Solyc03g116480.1.1,,,
101261808,Solyc04g048950.3,Solanum lycopersicum,MACPF domain-containing protein At4g24290(LOC101261808),Solyc04g072640.3,Solyc04g072640.3.1,,,
101246670,Solyc01g105450.3,Solanum lycopersicum,ABC transporter G family member 3(ABCG3),Solyc06g035520.3,Solyc06g035520.3.1,,,
101244492,Solyc06g050990.3,Solanum lycopersicum,multiple inositol polyphosphate phosphatase 1(LOC101244492),Solyc09g092080.3,Solyc09g092080.3.1,,,
101255144,Solyc10g006540.3,Solanum lycopersicum,formin-like protein 5(LOC101255144),Solyc09g011420.3,Solyc09g011420.3.1,,,
101259986,Solyc01g107900.3,Solanum lycopersicum,O-acyltransferase WSD1(LOC101259986),Solyc09g089780.3,Solyc09g089780.3.1,,,
101254299,Solyc05g010440.2,Solanum lycopersicum,choline/ethanolaminephosphotransferase 1-like(LOC101254299),Solyc02g083400.3,Solyc02g083400.3.1,,,
101264080,Solyc11g006770.2,Solanum lycopersicum,uncharacterized protein At2g38710(LOC101264080),Solyc08g076880.3,Solyc08g076880.3.1,,,
101259505,Solyc02g065380.3,Solanum lycopersicum,cold-regulated 413 plasma membrane protein 2(LOC101259505),Solyc02g062550.3,Solyc02g062550.3.1,,,
101259506,Solyc02g063060.3,Solanum lycopersicum,uncharacterized LOC101259506(LOC101259506),Solyc03g123670.3,Solyc03g123670.3.1,,,
101259504,Solyc02g077780.3,Solanum lycopersicum,MACPF domain-containing protein NSL1(LOC101259504),Solyc05g015490.3,Solyc05g015490.3.1,,,
101249706,Solyc11g069050.2,Solanum lycopersicum,4-coumarate--CoA ligase-like 7(LOC101249706),Solyc01g094040.3,Solyc01g094040.3.1,,,
101248859,Solyc03g121290.3,Solanum lycopersicum,F-box/LRR-repeat protein At2g42720(LOC101248859),Solyc02g090750.3,Solyc02g090750.3.1,,,
101264088,Solyc11g056680.1,Solanum lycopersicum,DNA damage-repair/toleration protein DRT100(LOC101264088),Solyc11g007080.1,Solyc11g007080.1.1,,,
101264089,Solyc02g062890.2,Solanum lycopersicum,probable polyol transporter 6(PMT6),Solyc11g018610.2,Solyc11g018610.2.1,,,
101255141,Solyc10g012170.3,Solanum lycopersicum,calmodulin-binding receptor-like cytoplasmic kinase 2(LOC101255141),Solyc02g072130.3,Solyc02g072130.3.1,,,
101245344,Solyc03g113220.3,Solanum lycopersicum,hypersensitive-induced reaction 1 protein(LOC101245344),Solyc11g070170.2,Solyc11g070170.2.1,,,
101245344,Solyc06g071050.3,Solanum lycopersicum,hypersensitive-induced reaction 1 protein(LOC101245344),Solyc03g082550.3,Solyc03g082550.3.1,,,
101261810,Solyc04g074490.3,Solanum lycopersicum,F-box protein At1g78280(LOC101261810),Solyc12g042460.2,Solyc12g042460.2.1,,,
101248856,Solyc12g087950.1,Solanum lycopersicum,AT-hook motif nuclear-localized protein 28(LOC101248856),Solyc06g060910.2,Solyc06g060910.2.1,,,
101268443,Solyc02g092110.3,Solanum lycopersicum,phytosulfokines 3(PSK4),Solyc06g082520.3,Solyc06g082520.3.1,,,
101244496,Solyc06g082535.1,Solanum lycopersicum,trans-cinnamate 4-monooxygenase(LOC101244496),Solyc08g079190.1,Solyc08g079190.1.1,,,
101244012,Solyc07g032740.3,Solanum lycopersicum,"aspartate aminotransferase, cytoplasmic(LOC101244012)",Solyc08g078060.3,Solyc08g078060.3.1,,,
101268445,Solyc02g089630.3,Solanum lycopersicum,"proline dehydrogenase 2, mitochondrial(LOC101268445)",Solyc01g108350.3,Solyc01g108350.3.1,,,
104648424,Solyc07g043250.1,Solanum lycopersicum,VQ motif-containing protein 22(LOC104648424),Solyc10g076360.1,Solyc10g076360.1.1,,,
101260923,Solyc04g016330.3,Solanum lycopersicum,"probable glycerol-3-phosphate dehydrogenase [NAD(+)] 1, cytosolic(LOC101260923)",Solyc11g008430.2,Solyc11g008430.2.1,,,
101253394,Solyc07g056050.1,Solanum lycopersicum,transmembrane 9 superfamily member 12(LOC101253394),Solyc04g050620.3,Solyc04g050620.3.1,,,
101256420,Solyc01g103030.3,Solanum lycopersicum,protein NRT1/ PTR FAMILY 4.3(LOC101256420),Solyc04g078460.3,Solyc04g078460.3.1,,,
101256422,Solyc10g005320.3,Solanum lycopersicum,tryptophan synthase beta chain 1-like(LOC101256422),Solyc04g080540.2,Solyc04g080540.2.1,,,
101265380,Solyc02g014860.3,Solanum lycopersicum,"chaperone protein dnaJ C76, chloroplastic(LOC101265380)",Solyc06g034410.3,Solyc06g034410.3.1,,,
101247959,Solyc09g082240.3,Solanum lycopersicum,uncharacterized N-acetyltransferase p20-like(LOC101247959),Solyc06g066810.3,Solyc06g066810.3.1,,,
101265385,Solyc02g092230.3,Solanum lycopersicum,heptahelical transmembrane protein 4-like(LOC101265385),Solyc08g081680.2,Solyc08g081680.2.1,,,
101254240,Solyc01g098430.3,Solanum lycopersicum,autophagy-related protein 18h-like(LOC101254240),Solyc09g008970.1,Solyc09g008970.1.1,,,
101244442,Solyc02g081140.3,Solanum lycopersicum,plant UBX domain-containing protein 4-like(LOC101244442),Solyc10g005460.3,Solyc10g005460.3.1,,,
101246620,Solyc04g007490.3,Solanum lycopersicum,putative late blight resistance protein homolog R1A-3(LOC101246620),Solyc02g085870.3,Solyc02g085870.3.1,,,
101268894,Solyc08g068850.3,Solanum lycopersicum,uncharacterized LOC101268894(LOC101268894),Solyc03g093890.3,Solyc03g093890.3.1,,,
101244445,Solyc02g078460.3,Solanum lycopersicum,abscisic acid-insensitive RING protein 4-like(LOC101244445),Solyc03g097420.3,Solyc03g097420.3.1,,,
101254238,Solyc09g082570.3,Solanum lycopersicum,uncharacterized LOC101254238(LOC101254238),Solyc04g058170.1,Solyc04g058170.1.1,,,
778364,Solyc03g114600.3,Solanum lycopersicum,alternaria stem canker resistance protein(Asc-1),Solyc08g080380.3,Solyc08g080380.3.1,,,
101264062,Solyc09g065560.3,Solanum lycopersicum,sulfate transporter 3.1(LOC101264062),Solyc09g014860.3,Solyc09g014860.3.1,,,
101255562,Solyc03g031750.2,Solanum lycopersicum,vacuolar protein sorting-associated protein 28 homolog 2-like(LOC101255562),Solyc11g066800.2,Solyc11g066800.2.1,,,
101265393,Solyc02g081380.3,Solanum lycopersicum,ras-related protein RHN1(LOC101265393),Solyc12g005720.1,Solyc12g005720.1.1,,,
101253385,Solyc06g053790.3,Solanum lycopersicum,uncharacterized LOC101253385(LOC101253385),Solyc03g113220.3,Solyc03g113220.3.1,,,
101259923,Solyc03g097120.3,Solanum lycopersicum,heat stress transcription factor A-1(LOC101259923),Solyc05g054260.3,Solyc05g054260.3.1,,,
101259922,Solyc03g096000.3,Solanum lycopersicum,clathrin heavy chain 1(LOC101259922),Solyc02g094030.3,Solyc02g094030.3.1,,,
101266245,Solyc08g068690.1,Solanum lycopersicum,tyramine N-feruloyltransferase 4/11(LOC101266245),Solyc12g099100.2,Solyc12g099100.2.1,,,
101266242,Solyc08g008610.3,Solanum lycopersicum,probable lysophospholipase BODYGUARD 3(LOC101266242),Solyc04g077050.3,Solyc04g077050.3.1,,,
101267573,Solyc11g012780.2,Solanum lycopersicum,protein C2-DOMAIN ABA-RELATED 11(LOC101267573),Solyc09g020140.3,Solyc09g020140.3.1,,,
101244430,Solyc10g078490.2,Solanum lycopersicum,aquaporin SIP1-3(SIP1-3),Solyc01g095270.3,Solyc01g095270.3.1,,,
101244435,Solyc02g090820.3,Solanum lycopersicum,heat stress transcription factor HsfB1(HSTF24),Solyc02g092000.3,Solyc02g092000.3.1,,,
101055571,Solyc01g105230.3,Solanum lycopersicum,calmodulin-binding transcription activator 2(LOC101055571),Solyc12g008960.2,Solyc12g008960.2.1,,,
101055570,Solyc12g099340.2,Solanum lycopersicum,calmodulin-binding transcription factor SR3L(SR3L),Solyc01g088560.3,Solyc01g088560.3.1,,,
101260902,Solyc12g011000.2,Solanum lycopersicum,"citrate synthase, glyoxysomal(LOC101260902)",Solyc01g100370.3,Solyc01g100370.3.1,,,
101257772,Solyc06g007930.3,Solanum lycopersicum,cytochrome b5(LOC101257772),Solyc10g084000.2,Solyc10g084000.2.1,,,
101263181,Solyc02g094040.3,Solanum lycopersicum,triacylglycerol lipase 2-like(LOC101263181),Solyc02g072150.3,Solyc02g072150.3.1,,,
